date,tweet,word
2019-11-24 23:50:21+00:00,Very nice pic,flipkart
2019-11-24 23:34:29+00:00,bhai bhai....,flipkart
2019-11-24 23:33:21+00:00,"Why the hell am frequently getting OTP from @redBus_in, @goibibo, @BSNLCorporate, @Flipkart, @unacademy might people are try phishing us with these brand names and they (these brands) are even not aware coz of pathetic website control over customer's data. FYI @MumbaiPolice",flipkart
2019-11-24 23:02:03+00:00,Hello good morning hope hubby ok-nice to see you,flipkart
2019-11-24 22:48:19+00:00,"I this product on Flipkart! Morning Star Technology RO/UV Water Purifier PP Spun Filter, 10 Inch 5 Micron PRE Filter Cartridge Media Filter Cartridge http://dl.flipkart.com/dl/morning-star-technology-ro-uv-water-purifier-pp-spun-filter-10-inch-5-micron-pre-filter-cartridge-media/p/itmf9yg8chvkszs3?pid=WFCF8ZZHQFZQKJFF&amp;cmpid=product.share.pp #buyonflipkart via @Flipkart",flipkart
2019-11-24 22:26:34+00:00,Get Rs 1000 Extra Discount on Mobiles on Flipkart using PhonePe Coupon https://ucstrike.com/save-money/get-rs-1000-extra-discount-on-mobiles-on-flipkart-using-phonepe-coupon/,flipkart
2019-11-24 22:14:51+00:00,People have been complaining on asus posts regarding Bluetooth connectivity and heating issues... I too was waiting for the 512gb version but then went for OP after reading the issue related comments from genuine buyers...,flipkart
2019-11-24 22:11:54+00:00,Congratulations,flipkart
2019-11-24 21:57:42+00:00,Congratulations @Sagar14Naik,flipkart
2019-11-24 21:57:01+00:00,Play games and win exciting rewards #flipkart #gamezone,flipkart
2019-11-24 21:50:15+00:00,"To ensure that your Flipkart account information is safe, please start a private chat with us by clicking on the link below. - Bhargavi (2/2) ",flipkart
2019-11-24 21:49:04+00:00,@Flipkart hate you Flipkart you not solve my issue fake one,flipkart
2019-11-24 21:43:48+00:00,Not to forget flipkart :),flipkart
2019-11-24 21:40:01+00:00,"2. Demonetization killed sales, destroyed small and medium sellers and traders. The gap created in supply was quickly filled by big Corporate houses, Amazon and Flipkart got an open mandate to create own ID's with strategic tie-ups &amp; destroyed both online and offline sellers",flipkart
2019-11-24 21:19:27+00:00,"Moto-Lenovo Days on Flipkart: Check deals on Moto One Action, Lenovo Z6 Pro and more http://bit.ly/2rrcDeL",flipkart
2019-11-24 20:57:49+00:00,@TrakinTech realme 3 pro still worth it? (it's end of 2019 so) cause due to tight budget of 10k (on flipkart as of now 4/64 is priced at 10k) so what do you think?,flipkart
2019-11-24 20:53:58+00:00,Assigned technicians by @Flipkart @flipkartsupport who was supposed to visit but never showed up instead someone else visited. Without official email contact or msg from @flipkar or #jeeves.Here is the Incident Id - IN1911191002538148035. Which was raised but same happened again.,flipkart
2019-11-24 20:47:47+00:00,MARQ is not other brand it's Flipkart own brand.means Flipkart know very well his product is not success in market that's a reason Flipkart didn't mention his brand in list.i am feeling someone cheated me .I purchased MARQ because my faith was Flipkart that's why i choose marq,flipkart
2019-11-24 20:45:19+00:00,"Got a Free Demo, thanks to @ushaintl, वरना @Flipkart @flipkartsupport ने तो साफ मना कर दिया था।",flipkart
2019-11-24 20:42:54+00:00,Is that true that this phone has issues... Then I will look for other options..,flipkart
2019-11-24 20:41:11+00:00,At first the technician assigned didn't even showed up and updated the status the phone is not having any issue. @Flipkart and when raised the complaint @flipkartsupport requested to raise new request which was again assigned to same technician whose phone is not reachable.,flipkart
2019-11-24 20:40:55+00:00,Somebody just bombed ur sms box using sms bomber,flipkart
2019-11-24 20:39:15+00:00,Brought a @XiaomiIndia MI 8a from @Flipkart @flipkartsupport which is having network issues. When technician visited even he confirmed the problem. Recording were shared as well and then I received message return rejected. What's wrong with you flipkart. How shall anyone trust u?,flipkart
2019-11-24 20:39:08+00:00,I bought two mobile phone from Flipkart through cardless emi options I've paid two emi on time but now there is no option to pay due amount Please what should I do. I'm still waiting for your reply,flipkart
2019-11-24 20:34:43+00:00,@Flipkart Was awake late adding stuff to cart and after payment 2 orders got cancelled. Such a waste of time and sleep!!! Please just stop your fake offers.,flipkart
2019-11-24 20:33:15+00:00,.@Flipkart Why keep fake offers and waste people's time at 2:00 in the night when you have to only cancel the whole order in the end? TOTALLY disappointed Flipkart!!,flipkart
2019-11-24 20:31:10+00:00,हम @Flipkart @amazonIN जैसी #ऑनलाइनकंपनियों का बहिष्कार करते हैं इससे स्वतः रोजगार करने वाले छोटे #दुकानदारों की रोजी रोटी खतरे में है #बेरोजगारी बढ़ रही है इसके विरोध में 6 दिसम्बर 2019 को #दिल्लीबन्द #व्यापारीगण बन्द का समर्थन करे और अपनी दुकानें बंद करे। #जागोजनताजागो,flipkart
2019-11-24 20:27:24+00:00,"@Flipkart I purchased one TV from @Flipkart BRAND NAME MARQ .that time I paid 11,500 Indian rupees. Now this TV price 8500 only what is this .means there is no value of money with your product . I try to exchange this TV with @Flipkart but this ""MARQ"" brand is not in list ",flipkart
