date,tweet,word
2019-11-11 22:50:11+00:00,Flipkart Seller Center makes offering on Flipkart much easier than ever before. It lets you:- Register as a new seller on Flipkart-... online App Mart - http://www.onlineappmart.com/android-apps/flipkart-seller-hub/,flipkart
2019-11-11 22:06:07+00:00,"I would like to reiterate that there is no physical damage and phone is completely working. Guess, price guarantee plan of Flipkart was for exchange of used phones and not new phones. This is customer harrassment for no reasons by your support staffs. I have already read t&amp;c ",flipkart
2019-11-11 21:40:07+00:00,@Flipkart @jagograhakjago @voxya_ Flipkart-cheating people in name of exchange offers. I had purchased Price guarantee plan which now being claimed is refused by Flipkart for exchange in my Order OD117021197409047000. No problem with my device but person refused to accept it.,flipkart
2019-11-11 21:37:36+00:00,@SrBachchan @imVkohli @aliaa08 @Flipkart @flipkartsupport Bachhan Sir u r the face of big billion days.Please please help me.Flipkart is giving me a damage product and didn't refund my money .It's almost 1 month.They are looting customer.pleas help m e @InfluencerUnity,flipkart
2019-11-11 21:36:05+00:00,#Analytics #freightbazaar @rishmitra @YourStoryCo @VivekLaw @Flipkart ,flipkart
2019-11-11 21:30:05+00:00,"mafias I know of: - Twitter - Airbnb - Uber - Amazon - Alibaba - Flipkart seeing funds pitch these founders too anti-mafias? - Facebook (people love mother ship) - Stripe (people are happy) - Microsoft (all big tech, zero hustle) - Google (like @rabois says - cant do shit)",flipkart
2019-11-11 21:11:21+00:00,#Free #Audible #Audiobook url https://zeep.ly/YCxsd #amazon #itunes #kindle #amazonprime #spotify #bookstagram #youtube #ebay #tidal #love #bhfyp #books #ebook #flipkart #ecommerce #fashion #instagram #shopping #applemusic #kindleunlimited #entrepreneur #amazonfba #amazondeals,flipkart
2019-11-11 21:11:00+00:00,"yes got a mail from team , as am trying to add those voucher to my flipkart a/c am getting this error - This card belongs to a wallet and direct transactions are not allowed on this card, please check and do reply , ticket #832911",flipkart
2019-11-11 21:01:39+00:00, ,flipkart
2019-11-11 20:51:36+00:00,I'm Super Exited for this biggest Launch Event This Phone definitely create #history in #Indian #smartphones #industry I hop the #Flipkart going #Crash @Flipkart @realmemobiles @MadhavSheth1,flipkart
2019-11-11 20:44:39+00:00,"Being a plus customer, not at all happy with your service. @flipkartsupport Check DM",flipkart
2019-11-11 20:40:00+00:00,@flipkart #cheaterflipkart Hey let me know when you people will get deliver my phone . As you get it cancelled even after giving me confirmation.,flipkart
2019-11-11 20:38:34+00:00,Flipkart in India. Next gen companies are being built as we speak,flipkart
2019-11-11 20:26:02+00:00,@Flipkart can you please deliver my phone as it was promised to deliver but got cancelled on very next day saying 3 delivery attempts made. Even though I got confirmation from delivery boy and from the customer support that my product would not be cancelled. ,flipkart
2019-11-11 20:14:49+00:00,The same kind of sorry and responsibilities se getting from you all since 22 Oct. Don't know why @Flipkart hired staffs like you who does the same kind of response without even looking or forwarding the case to anywhere. Better to allow Robots here as Robot does work perfectly.,flipkart
2019-11-11 19:58:25+00:00,@Flipkart @flipkartsupport ola cab super coin not credited 9920705007,flipkart
2019-11-11 19:54:26+00:00,"Hi, we request you to call Flipkart Support on 18002089898 for further assistance on your concern.",flipkart
2019-11-11 19:53:17+00:00,For Flipkart (Walmart) and India: English is not enough ,flipkart
2019-11-11 19:49:30+00:00,This was the first order.,flipkart
2019-11-11 19:48:37+00:00,Working tirelessly for this? This is the replacement I got.,flipkart
2019-11-11 19:47:43+00:00,*on,flipkart
2019-11-11 19:46:27+00:00,Mivi thunder beats Bluetooth one available for 1200 around on Flipkart,flipkart
2019-11-11 19:46:07+00:00, Upto 50% off on Gaming Monitors. http://bit.ly/34PrHRP Laptop Speakers at 199. http://bit.ly/32CY6ti Flipkart Tablet Days || Starts at rs 3499 http://bit.ly/2KaSwIe,flipkart
2019-11-11 19:45:38+00:00,#Flipkart Exchange offer is a fake policy by flipkart. Even for minor defect ekart rejects product which is beyond flipkart's policy. Terms and conditions says there will be degradation of discount if found ....3 options. Order ID - OD117007320246425000 did not accept exchange.,flipkart
2019-11-11 19:44:33+00:00,"@Flipkart what's wrong with Flipkart? This is what I got when I order for a brand new game console.There is no quality check, compromising on quality will definitely ruins ur business. After a complaint they send a replacement which is worst than this. ",flipkart
2019-11-11 19:40:23+00:00,Is there a reason why your stupid team is not responding to my case pending since 22 Oct? Immediately close my #flipkart relationship and refund all pending as I don't need these fraudster anymore. Refer attached your comments dated 22 Oct confirming to resolve soon. ,flipkart
2019-11-11 19:39:51+00:00,Flipkart is froud,flipkart
2019-11-11 19:37:49+00:00,Great initiative for real realme fans...Will join for sure... How will I get the power bank and R pass..home delivery or in the welcome kit at the venue...will R pass work on Flipkart.,flipkart
2019-11-11 19:35:23+00:00,"Flipkart is contacting me since one month to deliver a washing machine, still not done , instead of flipkart if I had gone for nearest dealer , he would have done 10 times till now ",flipkart
2019-11-11 19:31:23+00:00,They closed the day with $38B.. it's equal to the valuation of Flipkart+Paytm+Udaan+ few more startups. ,flipkart
2019-11-11 19:30:52+00:00,"Best Phone Offers On The Big Billion Days Yy | Flipkart, ‘The Big Billion Day’: इन मोबाइल और टेबलेट पर मिल रहा है डिस्काउंट https://inhindinews.com/best-phone-offers-on-the-big-billion-days-yy-flipkart-the-big-billion-day-%e0%a4%87%e0%a4%a8-%e0%a4%ae%e0%a5%8b%e0%a4%ac%e0%a4%be%e0%a4%87%e0%a4%b2-%e0%a4%94%e0%a4%b0-%e0%a4%9f%e0%a5%87%e0%a4%ac/",flipkart
2019-11-11 19:28:01+00:00,"A very bad experience from @Flipkart about the refund related issues in flipkart pay later. Due to some error payment made twice but couldn't reverse back from the source. Already contacted to care agent via call, drop a email but still issue is not resolved yet. Plz revert asap.",flipkart
