date,tweet,word
2019-11-25 22:35:10+00:00,"Thanks for reaching out to us, Anubhav! Please check if you're using the latest version of the Myntra App &amp; try deleting the cache memory. You can do that by going into the settings &gt; App. If you still face the same issue, kindly try to (cont) http://srkl.in/l/6018BIhSbO",myntra
2019-11-25 22:14:25+00:00,#Myntra Offer : Trendy Denims Discount Offer : Get Upto 70% Off + 10% Instant Discount on HDFC Bank Link: https://zngy.in/hjwx,myntra
2019-11-25 21:36:02+00:00,"Love the ease of @getsimpl. pls integrate with @Uber_India, @amazonIN, @dominos_india and @myntra #KeepItSimpl",myntra
2019-11-25 21:34:12+00:00,"Love%20the%20ease%20of%20@getsimpl.%20pls%20integrate%20with%20@Uber_India,%20@amazonIN,%20@dominos_india%20and%20@myntra%20 #KeepItSimpl",myntra
2019-11-25 20:35:47+00:00,"Same here, I'm also facing issue with similar product.",myntra
2019-11-25 20:07:46+00:00,"Amazon is dirtiest They offered power bank with large capacity But it turned into useless waste Neither they returned money, No one responded on helpline, They are bunch of cheats @Flipkart @OnlineMarktn_de @myntra",myntra
2019-11-25 19:55:39+00:00,"Thanks for reaching out to us, Prakhar! We request you to share the screenshot of the same along with your registered email address via DM so that we can get this highlighted to resolve at the earliest. -PH",myntra
2019-11-25 19:52:53+00:00,"@myntra homepage of the myntra is showing that i will be eligible for 10% cashback using hdfc debit card on purchase of minimum 2000 rs, but when I am placing my order, on the payment page it is showing that I will be eligible for the same offer on a minimum purchase of 3000.",myntra
2019-11-25 19:34:16+00:00,We have replied to you here: http://srkl.in/6011BIhSpV . Kindly check. -AZ,myntra
2019-11-25 19:33:43+00:00,"We completely understand how you feel right now, Piyush! Please be assured, we are closely following up on this to ensure this is sorted out on priority and one of our case managers will contact you by tomorrow between 11 AM - 8 PM to address (cont) http://srkl.in/l/6010BIhSpp",myntra
2019-11-25 19:29:08+00:00,@myntra There is no option for returning it as I already collected the Myntra Insider points. Please help me out. I need to return the shirt ASAP. Order no - 1126461-3960916-1408703,myntra
2019-11-25 19:29:07+00:00,"@myntra I had ordered a Roadster shirt which was delivered yesterday. I got some Myntra Insider points with it which I collected. Now, the shirt looks a bit faded as compared to the photos on the app.",myntra
2019-11-25 19:18:12+00:00,So sweet anushka jii and you smile is a very beautiful and pretty,myntra
2019-11-25 19:15:36+00:00,"Fucking Amazon has ruined me. Now when I order something from Paytm or Myntra or some shit cz of better prices or even sizes, I hate that they take a week to deliver!! :(",myntra
2019-11-25 19:08:34+00:00,"Love the ease of @getsimpl. pls integrate with @Uber_India, @amazonIN, @myntra, @dominos_india, @NetflixIndia, @hotstartweets and @oyorooms #KeepItSimpl",myntra
2019-11-25 18:55:03+00:00,"Hello guys , I am available for hot cam show with 4 languages Hindi, Bengali, odiya and English.. All fantace with 4 language ....amazon , myntra, also except.. Come on guys dm me for details...plz dm only genunie player... ",myntra
2019-11-25 18:49:43+00:00,"I just levelled up to Legend at Myntra's Comic Con (25th-27th Nov)! Mega prizes, merchandise and fun games to be won. Let's geek out!",myntra
2019-11-25 18:34:00+00:00,India walo eik dafa ye video dikh lo. Ager mard k bachy ho tm log,myntra
