date,tweet,word
2019-11-29 23:43:15+00:00,Miriam Webster’s a woman with a few secrets... ★A BODY ON FITZGERALD'S BLUFF★ http://amazon.com/dp/B07KF7T93B aburke59 http://wp.me/P5rIsN-3zb #ASMSG #amazonIndia ✎via Pizzazz Book Promotions http://wp.me/P5rIsN-Ft,amazonindia
2019-11-29 23:32:55+00:00,Black Friday and Cyber Monday Sale 2019 on Amazon India: Get Up to 60 Percent Discounts on International Br... https://getaps.site/black-friday-and-cyber-monday-sale-2019-on-amazon-india-get-up-to-60-percent-discounts-on-international-brands/?feed_id=5446&amp;_unique_id=5de1aaa7cbe5a,amazonindia
2019-11-29 23:04:38+00:00,Redragon Karura K502 USB Gaming Keyboard [33% discount] https://amzn.to/30nyLDF #AmazonIndia #DealsOnPC,amazonindia
2019-11-29 22:04:41+00:00,"boAt Stone 1400 Wireless Bluetooth Speaker with IPX 5 Water Resistance, EQ Modes and HD Sound (Army Green) [62% discount] https://amzn.to/2ZC1GTv #AmazonIndia #DealsOnElectronics",amazonindia
2019-11-29 21:41:16+00:00,Black Friday and Cyber Monday Sale 2019 on Amazon India: Get Up to 60 Percent Discounts on International Brands http://latesttechnews.org/technology-news/gaming/black-friday-and-cyber-monday-sale-2019-on-amazon-india-get-up-to-60-percent-discounts-on-international-brands/,amazonindia
2019-11-29 21:37:17+00:00,A thousand ways the desert can kill—someone is making it one thousand and one! ★A DEAD NEPHEW★ http://amazon.com/gp/product/B07YBKH6P6/ aburke59 http://wp.me/P5rIsN-499 #ASMSG #amazonIndia ✎via Pizzazz Book Promotions http://wp.me/P5rIsN-Ft pic.twitter.com/k1YwsfU2z7,amazonindia
2019-11-29 21:04:41+00:00,"iBall EarWear Rock, Pitch Perfect Sound, Over-Ear Wired Headphones with Mic, Black & Red [44% discount] https://amzn.to/2L7vJOb #AmazonIndia #DealsOnPC",amazonindia
2019-11-29 20:04:32+00:00,Artis BT72 Portable Wireless Bluetooth Speaker with FM/USB/TF Card Reader/AUX in & Hands Free Calling (Blue) [56% discount] https://amzn.to/2nfETPI #AmazonIndia #DealsOnElectronics,amazonindia
2019-11-29 19:04:32+00:00,"boAt Stone 1400 Wireless Bluetooth Speaker with IPX 5 Water Resistance, EQ Modes and HD Premium Sound (Active Black) [62% discount] https://amzn.to/2KOTuvU #AmazonIndia #DealsOnElectronics",amazonindia
2019-11-29 18:56:59+00:00,"Canon EOS 1500D 24.1 Digital SLR Camera (Black) with EF S18-55 is II Lens, 16GB Card and Carry Case Read more at: https://best-dslr-in-india.blogspot.com/2019/11/canon-eos-1500d-241-digital-slr-camera.html #DSLRCamera #DSLR #Camera #Canon #Amazon #India #BlackFridaySale #BlackFriday",amazonindia
2019-11-29 18:21:35+00:00,WELLGO AFFILIATE: AMAZON .COM AND AMAZON INDIA ......... https://wellgoaffiliate.blogspot.com/2019/11/amazon-india-click-here.html?spref=tw,amazonindia
2019-11-29 18:16:17+00:00,"@amazonIN lately there has been lot of issues navigating your mobile app. It keeps saying "" Something is wrong. "" Please fix it. #Amazon India.",amazonindia
2019-11-29 17:46:50+00:00,#digitalphotography #photographyebook #booksphotography #beginnersguide #amazonindia https://bit.ly/37SoymD,amazonindia
2019-11-29 17:11:36+00:00,How does one ever gets a complaint resolved in #flipkartcustomersupport ?? Been hitting our heads against the wall since 10 days !! #Flipkart #Walmart #EpicFail no wonder we prefer #AmazonIndia,amazonindia
2019-11-29 17:04:26+00:00,"What about Amazon India ? (Which is the subject of discussion, since the entire debate is on tax not paid by a loss making Indian company) Iske baad Bhai I'm blocking you sorry ! Kisi aur ko strawman arguments ke saath pakana. Humey baksh do ",amazonindia
2019-11-29 16:58:43+00:00,Thank you for checking. We'd request you to confirm if you've placed the order on Amazon (India) or was it on Amazon (UK) website ? ^SK,amazonindia
2019-11-29 16:49:58+00:00,Available on Amazon (India) https://www.amazon.in/dp/8194324408/ref=cm_sw_r_fa_apa_i_aWu4DbG6JJFJX,amazonindia
2019-11-29 16:31:45+00:00,black friday deals WELLGO AFFILIATE: AMAZON .COM AND AMAZON INDIA ......... https://wellgoaffiliate.blogspot.com/2019/11/amazon-india-click-here.html?spref=tw,amazonindia
2019-11-29 16:24:02+00:00,@amazonIN very bad service of amazon india . From last 2.5 months refund is not being inititated from amazon india to me and my order id is 171684223555927122 . @JeffBezos the worst company you have created . @Flipkart is much better at refund initating.,amazonindia
2019-11-29 16:08:19+00:00,*Hi All we purchase below voucher at discount value in cash If anyone have below voucher please let us know in DM. 1-Amazon 2-Flipkart 3-Big Bazaar 4-Croma 5- Shopper Stop and Many more. #AmazonVoucher #bigbazaar #bigbazaarvoucher #amazonindia #Amazon #cromavoucher,amazonindia
2019-11-29 15:58:34+00:00,"Amazon India Very bad experience with amazon india nowadays. 1) Yesterday a product was supposed to be delivered at 9 PM and the delivery was not even attempted , and at the end of the day delivery agent was... https://www.facebook.com/naveen08.r/posts/10221040298227162",amazonindia
