date,tweet,word
2019-11-30 23:46:08+00:00,Hi Shadab! First things first; apologies for the hassle you had been through. Please let us look into this and assist you to the best of our abilities. We request you to DM us the regd. email address so that we can (cont) http://srkl.in/l/6012BL6HMk,myntra
2019-11-30 22:28:38+00:00,Hi Satyam! We've responded to your concern via Direct Message. We request you to have a check for the same. -SD https://twitter.com/messages/compose?recipient_id=89443197,myntra
2019-11-30 22:22:23+00:00,DM sent,myntra
2019-11-30 22:16:30+00:00,We truly value your association with us and definitely did not intend for you to feel this way. Please help us with your registered email address via DM so that we can look this up further and assist you accordingly. - ST,myntra
2019-11-30 22:12:25+00:00,"Hello @myntra @MyntraSupport , I am your Elite customer, can you please help me by removing the delivery charges 149/- on a product i want to order today? Help Urgent #Myntra",myntra
2019-11-30 21:48:23+00:00,"Sign-up using my code 3n5uze on the Myntra App &amp; get points worth Rs. 100 as well as extra Rs.500 off and free shipping on your first order. Download the App using - https://myntra.onelink.me/eWcy?pid=Referral Hurry, it doesn’t get better than this! Download the Myntra App NOW!",myntra
2019-11-30 21:18:14+00:00, ,myntra
2019-11-30 21:00:07+00:00,"Hi Akanksha! We have replied to you via DM, please check. - ST",myntra
2019-11-30 20:33:09+00:00,Hi Rajiv! We've responded to your concern under the following link: http://srkl.in/6019BL6HGF Request you to have a check for the same. -SD https://twitter.com/messages/compose?recipient_id=89443197,myntra
2019-11-30 20:33:00+00:00,Hi Rajiv! We've responded to your concern under the following link: http://srkl.in/6018BL6HG0 Request you to have a check for the same. -SD,myntra
2019-11-30 20:32:46+00:00,Hi Rajiv! We've responded to your concern under the following link: http://srkl.in/6017BL6HGL Request you to have a check for the same. -SD https://twitter.com/messages/compose?recipient_id=89443197,myntra
2019-11-30 20:32:22+00:00,"Rajiv, we get your point here and regret the hassle caused to you! Please note that we'd like to talk to you in this regard over a call so that we can get the issue sorted without any further delay or hassle. As (cont) http://srkl.in/l/6016BL6HGI https://twitter.com/messages/compose?recipient_id=89443197",myntra
2019-11-30 20:23:25+00:00,can’t return/exchange that item. I think customers should go to consumer forum for this type of fraudulent. The last thing is that you can cheat a customer only one time but this will reflect your market reputation also.,myntra
2019-11-30 20:23:19+00:00,if any customer sees the collected points he cannot return/exchange the item. I saw all your term and conditions & return/exchange policy but didn’t get any clause in which this is written that if any customer sees the collected points (even it was done unknowingly) them they,myntra
2019-11-30 20:23:02+00:00,but now your customer care told me that it cannot be possible because I saw the called point. This is totally rubbish. I don’t how I saw these points. It may be possible that I clicked the arrow sign by mistake. I just want to know only me that at which place you mentioned that,myntra
2019-11-30 20:22:46+00:00,"Your shopping site Myntra is totally a fraud, making customers fools. I have brought a blazer from your site vide order no- 1125974-097385-2920001 (which was delivered on 25 nov'19) in which it was mentioned that within 7 days i can exchange/return the item.",myntra
2019-11-30 20:13:51+00:00,"Hi Ankit! We have replied to you via DM, please check. Also, we request you to refrain from sharing any order related or personal account details on the public post for security purposes and suggest you hide/remove any comments/posts that (cont) http://srkl.in/l/6011BL6H1l",myntra
2019-11-30 20:07:54+00:00,@myntra @MyntraSupport Dear myntra This is to inform you that i have ordered two sweatshirts hoodies on 26/11/19 my prepaid order number- 1126668-1374051-1597601 for sweatshirts hoodies has not been delivered to me instead the deliveryman has delivered it to the wrong recepient,myntra
2019-11-30 19:52:55+00:00,"Thank you for bringing this to light, Tarun! Seems like a technical constraint to us. We will make sure to get it fixed. The issue has been highlighted and worked upon. In the meanwhile, please surf through the available options on Myntra. (cont) http://srkl.in/l/6017BL6HDf",myntra
2019-11-30 19:51:39+00:00,"Necer buy. Any product from @myntra @MyntraSupport they deliver the partial order in product instead of full order and cheat with customers later on..better to go with @AJIOLife @TataCLiQ @amazon ,@myntra i have wrost ecperience with you @myntra..",myntra
2019-11-30 19:50:25+00:00,"Necer buy. Any product from @myntra @MyntraSupport they deliver the partial order in product instead of full order and cheat with customers later on..better to go with @AJIOLife @TataCLiQ @amazon ,@myntra i have wrost ecperience with you @myntra..",myntra
2019-11-30 19:11:56+00:00,We have responded here http://srkl.in/6015BL6GhF . -PS,myntra
2019-11-30 19:11:36+00:00,"Hey Saif! Thanks for bringing this to our notice. There seems to be a technical issue we'll have this fixed. Meanwhile, we request you to surf for other products we are sure that you'll find the best one. -PS",myntra
2019-11-30 19:03:55+00:00,"That's not the kind of impression we want you to have of us, Nilesh! We keep our constant efforts to provide the best customer experience. Looks like there needs an intervention here. Kindly DM your regd. email ID (cont) http://srkl.in/l/6019BL6GhH",myntra
2019-11-30 19:03:08+00:00,"Hi there! Making our customers worried is not part of our service. As informed earlier, we request you to wait for 48 hrs for the amount to reflect in your source account. Appreciate your patience. - SH",myntra
2019-11-30 18:59:53+00:00,@myntra your delivery service is so bad that you misplaced my parcel and have the audacity to not even take responsibility for it. I urge everyone to double check before ordering from this shitty website.,myntra
2019-11-30 18:59:18+00:00,Please let me know the details @myntra,myntra
2019-11-30 18:58:50+00:00,Not happy with the experience. Please have this looked into on priority,myntra
2019-11-30 18:55:39+00:00,Also Myntra app does the same,myntra
2019-11-30 18:41:11+00:00,"hi @Uber_India, @amazonIN, @SheinIndia, @myntra, @dominos_india, @NetflixIndia, @hotstartweets and @oyorooms plz get pay later option #KeepItSimpl",myntra
2019-11-30 18:37:33+00:00,Hey Sandesh! We have replied to you here - http://srkl.in/6017BL6GfF Please check. -AO,myntra
2019-11-30 18:37:24+00:00,Hey Sandesh! We have replied to you here - http://srkl.in/6016BL6Gf0 Please check. -AO,myntra
2019-11-30 18:37:01+00:00,Hey Sandesh! Pricing and offers are the decision of the sellers. The constantly changing marketplace and our efforts to offer you the lowest price may result in fluctuations in our prices over time. We've tried our best to bring you the (cont) http://srkl.in/l/6019BL6Gft,myntra
2019-11-30 18:35:29+00:00,We have responded via DM. Request you to refrain from sharing any order related or personal account details on the public post for security purposes and suggest you hide/remove any comments/posts that include your personal details (like (cont) http://srkl.in/l/6015BL6GfU,myntra
2019-11-30 18:35:15+00:00,"So next time wen someones asks y the items are priced more on offer day, pls dont be dick by saying we wont control prices, even thogh u dont u own ur application , u can choose not to list them under offer, #BlackFridaySale sections..just query ur database for avg selling price",myntra
2019-11-30 18:34:32+00:00,"Our intention was never to hurt your sentiments, Prashant! Please accept our apology & treat this incidence as an exception and not a yardstick to evaluate the quality of our service. We assure you this is a one-off instance and the same would not be repeated. -AJ",myntra
