date,tweet,word
2019-12-12 23:34:10+00:00,Have you played Crossword on Myntra yet? Play exciting games &amp; win discounts at India’s Biggest Fashion Sale!https://www.myntra.com/growth/crossword/eors,myntra
2019-12-12 22:46:59+00:00,599/- #MyantraEORS,myntra
2019-12-12 22:44:33+00:00,499/- #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 22:21:31+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 22:20:41+00:00,1099/-,myntra
2019-12-12 21:06:28+00:00,Sorry Myntra,myntra
2019-12-12 21:02:21+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 21:01:52+00:00,@myntra is a cheat. They deliver old and poor quality products and when you try to return it they say the customer is a fraud and according to their quality check (which i believe isn't good) they have sent the product correctly and indirectly they say the customer is lying.,myntra
2019-12-12 20:54:22+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 20:53:46+00:00,"@myntra @MyntraSupport pass two days i am trying to use the app. Its behaving weird, takes too much time to load or keep giving error. Fyi its not just with me",myntra
2019-12-12 20:35:00+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 20:29:06+00:00,@myntra @MyntraSupport Ordered @PUMA shoes from your app. Look at the condition I have received the product in. Shame on you guys. @Flipkart,myntra
2019-12-12 20:10:32+00:00,"Mam chor bajar me choro ka raaz chalta hai, first thing is we should not go there. Waise toh mumbai aur pune me bhi chor bazaar hai hindu muslim aur tibet walo ka same case yahan bhi hai. By the way we have lots of offers live on myntra try that just kidding",myntra
2019-12-12 20:09:41+00:00,Rs. 12395 #MyntraEORS,myntra
2019-12-12 20:02:01+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 20:01:21+00:00,Rs. 1699 #MyntraEORS,myntra
2019-12-12 19:59:23+00:00, ,myntra
2019-12-12 19:57:00+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 19:56:29+00:00,1/5 #Review on @myntra by amitpatel2b4u ,myntra
2019-12-12 19:55:35+00:00,#MyntraEORS ₹. 789 #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice @myntra,myntra
2019-12-12 19:55:31+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 19:54:46+00:00,16499/- #MyntraEORS,myntra
2019-12-12 19:54:10+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 19:53:37+00:00,That's a good news Hope to win,myntra
2019-12-12 19:52:00+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 19:51:08+00:00,"16,499 #MyntraEORS",myntra
2019-12-12 19:42:01+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 19:41:16+00:00,Good luck ji ,myntra
2019-12-12 19:36:17+00:00,What!?,myntra
2019-12-12 19:32:57+00:00, ,myntra
2019-12-12 19:32:20+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 19:32:04+00:00,Hi! We know you'd like to connect with us. Please note that our working hours are between 7 AM and 1 AM. We have set a reminder to reach out to you as fast as we can. We request your patience in the meanwhile.,myntra
2019-12-12 19:31:37+00:00,Congratulations ,myntra
2019-12-12 19:31:25+00:00,Awesome! ,myntra
2019-12-12 19:28:26+00:00,Aata Myntra madhe Kahi milala nahi manun ratra bhar jagah rashil ,myntra
2019-12-12 19:28:23+00:00,Is it oh great will try again to win with U,myntra
2019-12-12 19:22:04+00:00,Thanku dear,myntra
2019-12-12 19:20:09+00:00,9999,myntra
2019-12-12 19:17:22+00:00,Thank you so much team @myntra Congratulations cowinners ,myntra
2019-12-12 19:17:08+00:00,6995/- #MyntraEORS @myntra,myntra
2019-12-12 19:14:55+00:00,It's awesome #EORSGameZone #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS,myntra
2019-12-12 19:10:31+00:00,₹1295 #MyntraEORS #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 19:10:20+00:00,1299 #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 19:10:11+00:00,Wow.. Excited ,myntra
2019-12-12 19:09:33+00:00,1499 #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 19:09:01+00:00,Excited and ready team @myntra #EORSGameZone #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS,myntra
2019-12-12 19:08:48+00:00,Wow that's Awesome Team. #EORSGameZone #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS,myntra
2019-12-12 19:08:22+00:00,Huge Celebrations ! #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 19:08:16+00:00,I hope I turn lucky at least then @myntra #MyntraEORS,myntra
2019-12-12 19:07:57+00:00,Excited,myntra
2019-12-12 19:07:16+00:00,"This was just the beginning. The #EORSGameZone has just started. We will drop a new contest EVERY DAY, every hour, between 6 pm and 9 pm. Much bigger prizes to be won. Stay tuned. #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS",myntra
2019-12-12 19:07:10+00:00,Have you played Crossword on Myntra yet? Play exciting games &amp; win discounts at India’s Biggest Fashion Sale!https://www.myntra.com/growth/crossword/eors,myntra
2019-12-12 19:07:10+00:00,@myntra 10000 #MyntraEORS,myntra
2019-12-12 19:06:04+00:00,Congratulations ,myntra
2019-12-12 19:05:48+00:00,Congrats everyone,myntra
2019-12-12 19:05:42+00:00, ,myntra
2019-12-12 19:05:04+00:00, ,myntra
2019-12-12 19:03:04+00:00,Same feelings bro ,myntra
2019-12-12 19:01:39+00:00,We have responded to you via DM. Kindly have a check. -HN,myntra
2019-12-12 19:01:16+00:00,1499/-,myntra
2019-12-12 19:00:16+00:00,Thanks,myntra
2019-12-12 19:00:00+00:00,Thanks,myntra
2019-12-12 18:59:54+00:00,Have you played Crossword on Myntra yet? Play exciting games &amp; win discounts at India’s Biggest Fashion Sale!https://www.myntra.com/growth/crossword/eors .,myntra
2019-12-12 18:59:27+00:00,"Hey Raj! That doesn't sound right and we definitely never wish to function this way. Fret not, kindly DM your registered email address and order number, so that we can provide an update accordingly. We await your response. -DD",myntra
2019-12-12 18:59:24+00:00,Sent you DM,myntra
2019-12-12 18:59:23+00:00,"Team, have you announced the #BlackFridaySale #HMOnMyntra results ? #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice",myntra
2019-12-12 18:59:21+00:00, thanks a lot myntra.. #MyntraEORS,myntra
2019-12-12 18:59:10+00:00,Woohoo..congratulations lucky peeps,myntra
2019-12-12 18:58:57+00:00,Congrats,myntra
2019-12-12 18:58:50+00:00,Congratulations @Aniketw1551,myntra
2019-12-12 18:58:50+00:00,We both won #MyntraEORS,myntra
2019-12-12 18:58:40+00:00,Congrats,myntra
2019-12-12 18:58:27+00:00,Winners bta diya,myntra
2019-12-12 18:58:24+00:00,Have you played Crossword on Myntra yet? Play exciting games &amp; win discounts at India’s Biggest Fashion Sale!https://www.myntra.com/growth/crossword/eors,myntra
2019-12-12 18:58:14+00:00,@myntra what is the fate of #HMOnMyntra contest ??,myntra
2019-12-12 18:58:13+00:00,O sis,myntra
2019-12-12 18:58:01+00:00,Big congratulations,myntra
2019-12-12 18:58:01+00:00,Badly lost but no issues. Will wait for another time. #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 18:58:00+00:00,Congratulations !!!,myntra
2019-12-12 18:57:55+00:00,Congratulations,myntra
2019-12-12 18:57:54+00:00,Big congratulations,myntra
2019-12-12 18:57:35+00:00,"Suraj, we've noted your feedback and we assure you that we will be working on improving these aspects of our service. Meanwhile, request you to DM your registered email address/order number as we want to know whether the order is on track. -DD",myntra
2019-12-12 18:57:35+00:00,14999 #MyntraEORS,myntra
2019-12-12 18:57:26+00:00,Congratulations @SujithDifferent #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 18:57:23+00:00,12999 #MyntraEORS,myntra
2019-12-12 18:57:04+00:00,How thanks a lot,myntra
2019-12-12 18:56:49+00:00,"₹1,999 #MyntraEORS #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice",myntra
2019-12-12 18:56:38+00:00, Lost.,myntra
2019-12-12 18:56:37+00:00,Congratulations. #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 18:56:12+00:00,@myntra He what the hell it going on. Have ordered 3 product 1 high price product was missing.complained since 3rd Dec .but yet my query has not being resolve.Its not your responsibility?????? Will it resolve after winter ends??,myntra
2019-12-12 18:56:05+00:00,@myntra when u announce black Friday sale contest results,myntra
2019-12-12 18:56:04+00:00,Congrt guys #MyntraEORS,myntra
2019-12-12 18:55:52+00:00,Congratulations #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 18:55:51+00:00,₹12020,myntra
2019-12-12 18:55:50+00:00,Waooo you made my night! #MyntraEORS,myntra
2019-12-12 18:55:24+00:00,Glued and tuned in to know the results of the Guess Game Exam ! #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 18:55:19+00:00,"The winners are… 6/10 @KukrejaShubhs 7/10 @mahtab1900 8/10 @lavishkumar_17 9/10 @offical_sharma 10/10 @SujithDifferent Congrats. DM us your email ids, and we will get in touch. #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice",myntra
2019-12-12 18:55:03+00:00,Congrats @ramyavellanki,myntra
2019-12-12 18:54:49+00:00,:'(,myntra
2019-12-12 18:54:34+00:00,Done participating. #MyntraEORS #IndiasBiggestFashionSale #WaitForEORS #EORSGameZone #GuesstheEORSPrice,myntra
2019-12-12 18:54:32+00:00,Fingers crossed tightly wish to win for my liite angel,myntra
2019-12-12 18:54:29+00:00,Fingers crossed ,myntra
2019-12-12 18:54:24+00:00,Sab theek hai yar delivery speed badhao bas,myntra
