date,tweet,word
2019-11-16 23:56:24+00:00,2/5 #Review on @Flipkar by sanjay27815351 : Flipkart -https://www.mouthshut.com/review/Flipkartcom-review-npluporpqlo,flipkart
2019-11-16 23:52:06+00:00,"Realme 5s to Be Powered by Snapdragon 665 SoC, Flipkart Teaser Page Reveals http://latesttechnews.org/technology-news/realme-5s-to-be-powered-by-snapdragon-665-soc-flipkart-teaser-page-reveals/",flipkart
2019-11-16 23:15:39+00:00,@ASUSIndia when the next sale of rog phone 2 ???,flipkart
2019-11-16 23:13:37+00:00,Ye sabhi plus account band kar rahe bina karan hi,flipkart
2019-11-16 22:54:32+00:00,Flipkart Acquisition Continues to Hit Walmart’s Bottom Line http://bit.ly/37hcKdF @inkPointTech | @Gadgets360,flipkart
2019-11-16 22:44:28+00:00,#WeLoveAsimRiaz,flipkart
2019-11-16 22:35:48+00:00,"@Flipkart @flipkartsupport i have not heard from you, can u help me checked it as earliest, already send DM to you",flipkart
2019-11-16 22:23:11+00:00,redmi note 8 pro loud speaker volume bahat kam hai (Low volume=,flipkart
2019-11-16 22:15:26+00:00,We understand your concern. We’d like to inform you that your Flipkart Pay Later account is currently not active as {Kissht} will no longer be a financing partner for this payment option. (1/2),flipkart
2019-11-16 21:50:39+00:00,Delivery expected by 15th Nov!! Did you mean Nov 2020??#Flipkart now #flopkart,flipkart
2019-11-16 21:47:27+00:00,"PS: I don't need your apology blurb here. As a token of apology, I don't mind if Flipkart CEO #kalyankrishnamurthy comes as a delivery boy to dleiver the product.(tea and biscuit free at home, followed by pedigree if you wish to have lunch).",flipkart
2019-11-16 21:47:04+00:00,"Flipkart really need to improve its logistics, like I can't find a single book that is deliverable in 2 days. It either takes a week or sometimes even a month to deliver. ",flipkart
2019-11-16 21:43:55+00:00,Whoever has actually bought the #BoycottPatanjaliProducts from Amazon Flipkart should only write the reviews else the reviews may be invalidated by these sites. Please note and spread the word. ,flipkart
2019-11-16 21:41:19+00:00,Order id OD117052180531586000 #flipkart #flipkartceo #flipkartcustomerservice #flopkart #worstcustomerexperience Delivery was supposed to be done on 15th Nov and item is not yet delivered to me. I contacted flipkart customer service on 15th Nov 6p.m and no resolution was given.,flipkart
2019-11-16 21:31:20+00:00,"Realme 5s to Feature 6.51-Inch HD+ Display, Flipkart Reveals Ahead of Launch http://latesttechnews.org/technology-news/gaming/realme-5s-to-feature-6-51-inch-hd-display-flipkart-reveals-ahead-of-launch/",flipkart
2019-11-16 21:24:54+00:00,"#Samsungmobile They can't even deliver to metro cities like Chennai,how this guys deliver it to ROTN better you choose #Flipkart for your M series",flipkart
2019-11-16 21:06:21+00:00,We understand your concern. We’d like to inform you that your Flipkart Pay Later account is currently not active as {Kissht} will no longer be a financing partner for this payment option. (1/2),flipkart
2019-11-16 21:04:14+00:00,@Flipkart @flipkartsupport Using flipkart paylater since last 2 years without any late payment. Recently got a limit upto 7k but then suddenly you have closed the facility for me.Purchased approx 1 lakhs in a year but still this steps made me frustrated really.-@7003247460,flipkart
2019-11-16 20:45:34+00:00,"I am disappointed by the experience received by @Flipkart. I ordered a laptop but received a faulty one. So, I applied for a replacement. But, this time again I received a damaged laptop. ID: OD116681740586806000 @flipkartsupport #flipkartcustomersupport",flipkart
2019-11-16 20:34:18+00:00,@Flipkart you're going further down! ,flipkart
2019-11-16 20:30:27+00:00,How To Get FLIPKART GIFTCARD For FREE[Rs.1000] Latest Trick | **MUST WATCH** https://ucstrike.com/save-money/how-to-get-flipkart-giftcard-for-freers-1000-latest-trick-must-watch/,flipkart
2019-11-16 20:19:50+00:00,Flipkart Big Billion Day Sale 2018 Big Discounts On Honor Smartphones Kp | Flipkart Big Billion Days Sale 2018: Honor के फोन पर मिलेगी 8000 रुपए तक की भारी छूट! https://inhindinews.com/flipkart-big-billion-day-sale-2018-big-discounts-on-honor-smartphones-kp-flipkart-big-billion-days-sale-2018-honor-%e0%a4%95%e0%a5%87-%e0%a4%ab%e0%a5%8b%e0%a4%a8-%e0%a4%aa%e0%a4%b0-%e0%a4%ae/,flipkart
